[Fri Jun 25 07:38:50.693 2010] 0.061 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 25 14:19:48.700 2010] 0.016 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 25 14:20:14.287 2010] 0.040 sec [all/2/ext 0 (0,25)] [performance_core] springsteen
[Fri Jun 25 14:21:06.276 2010] 0.000 sec [all/2/ext 0 (0,25)] [performance_core] springsteen
[Fri Jun 25 14:21:07.635 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 25 14:21:13.981 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sun Jun 27 11:22:10.837 2010] 0.038 sec [all/2/ext 46 (0,25)] [performance_core] somewhat
[Sun Jun 27 11:22:23.799 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sun Jun 27 11:22:27.129 2010] 0.000 sec [scan/2/ext 194 (175,25)] [performance_core]
[Sun Jun 27 11:22:32.933 2010] 0.000 sec [scan/2/ext 194 (150,25)] [performance_core]
[Sun Jun 27 11:59:13.587 2010] 0.095 sec [all/2/ext 3 (0,25)] [performance_core] somewhat ryanj
[Sun Jun 27 13:08:06.574 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sun Jun 27 18:49:19.548 2010] 0.609 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sun Jun 27 18:59:39.118 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sun Jun 27 19:38:26.678 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sun Jun 27 22:18:13.292 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 28 11:01:07.877 2010] 0.059 sec [scan/2/ext 194 (100,25)] [performance_core]
[Mon Jun 28 11:18:39.672 2010] 0.057 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 28 11:40:54.665 2010] 0.001 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 28 11:44:37.367 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 28 20:42:09.625 2010] 0.116 sec [all/2/ext 2 (0,25)] [performance_core] 09-10
[Thu Jul  1 11:20:45.981 2010] 0.083 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jul  1 14:16:21.738 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jul  1 20:38:45.685 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jul  1 21:19:06.252 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jul  1 21:59:17.501 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jul  1 21:59:19.512 2010] 0.000 sec [scan/2/ext 194 (150,25)] [performance_core]
[Thu Jul  1 22:02:00.337 2010] 0.000 sec [scan/2/rel 0 (0,20)] [performance_core]
[Thu Jul  1 22:03:31.070 2010] 0.138 sec [scan/2/rel 0 (0,20)] [performance_core]
[Fri Jul  2 08:21:48.206 2010] 0.017 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jul  2 19:10:20.410 2010] 0.022 sec [scan/2/ext 194 (100,25)] [performance_core]
[Fri Jul  2 21:31:54.847 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jul  2 21:53:11.559 2010] 0.059 sec [all/2/ext 14 (0,25)] [performance_core] hyperpower
[Fri Jul  2 21:53:16.435 2010] 0.000 sec [all/2/ext 14 (0,25)] [performance_core] hyperpower!
[Sat Jul  3 08:32:42.542 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sat Jul  3 11:05:27.429 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jul  5 11:27:51.867 2010] 0.003 sec [scan/2/ext 194 (50,25)] [performance_core]
[Mon Jul  5 15:19:03.797 2010] 0.000 sec [scan/2/ext 194 (150,25)] [performance_core]
[Mon Jul  5 18:13:49.417 2010] 0.033 sec [scan/2/ext 194 (25,25)] [performance_core]
[Mon Jul  5 18:25:50.847 2010] 0.000 sec [scan/2/ext 195 (0,25)] [performance_core]
[Mon Jul  5 18:25:55.001 2010] 0.005 sec [all/2/ext 15 (0,25)] [performance_core] hyperpower!
[Tue Jul  6 07:34:11.519 2010] 0.003 sec [scan/2/ext 195 (0,25)] [performance_core]
[Tue Jul  6 07:34:15.857 2010] 0.000 sec [scan/2/ext 195 (75,25)] [performance_core]
[Tue Jul  6 07:34:17.745 2010] 0.000 sec [scan/2/ext 195 (125,25)] [performance_core]
[Tue Jul  6 07:34:20.006 2010] 0.000 sec [scan/2/ext 195 (150,25)] [performance_core]
[Tue Jul  6 07:35:09.321 2010] 0.015 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:37:29.771 2010] 0.001 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:41:30.881 2010] 0.073 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:44:03.212 2010] 0.196 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:46:01.924 2010] 0.153 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:48:10.991 2010] 0.001 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:50:57.286 2010] 0.001 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:51:56.435 2010] 0.001 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:55:44.045 2010] 0.001 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 07:57:37.050 2010] 0.224 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 08:01:13.578 2010] 0.069 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 08:02:29.742 2010] 0.026 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 08:04:26.804 2010] 0.085 sec [all/2/ext 21 (0,25)] [performance_core] hyperpower!
[Tue Jul  6 08:04:50.147 2010] 0.000 sec [scan/2/rel 1 (0,20)] [performance_core]
[Tue Jul  6 08:04:59.639 2010] 0.000 sec [all/2/ext 21 (0,25)] [performance_core] hyperpower!
[Tue Jul  6 08:06:17.808 2010] 0.001 sec [all/2/ext 21 (0,25)] [performance_core] hyperpower!
[Tue Jul  6 09:43:26.220 2010] 0.000 sec [scan/2/ext 201 (0,25)] [performance_core]
[Tue Jul  6 10:56:58.365 2010] 0.000 sec [scan/2/ext 201 (0,25)] [performance_core]
[Tue Jul  6 12:05:34.073 2010] 0.000 sec [scan/2/ext 201 (0,25)] [performance_core]
[Tue Jul  6 16:56:30.313 2010] 0.000 sec [scan/2/ext 201 (0,25)] [performance_core]
[Tue Jul  6 18:23:08.134 2010] 0.008 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 18:24:18.038 2010] 0.089 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 18:26:38.604 2010] 0.026 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 18:40:24.377 2010] 0.077 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 18:41:55.720 2010] 0.001 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 18:42:10.310 2010] 0.000 sec [scan/2/rel 0 (0,20)] [performance_core]
[Tue Jul  6 19:39:54.309 2010] 0.015 sec [scan/2/ext 201 (125,25)] [performance_core]
[Wed Jul  7 02:06:08.474 2010] 0.048 sec [scan/2/ext 201 (175,25)] [performance_core]
[Wed Jul  7 18:42:31.091 2010] 0.056 sec [scan/2/rel 0 (0,20)] [performance_core]
[Wed Jul  7 18:43:33.585 2010] 0.396 sec [scan/2/rel 0 (0,20)] [performance_core]
[Wed Jul  7 18:46:37.371 2010] 0.952 sec [scan/2/rel 0 (0,20)] [performance_core]
[Wed Jul  7 18:46:50.135 2010] 0.000 sec [scan/2/rel 0 (0,20)] [performance_core]
[Wed Jul  7 18:47:22.502 2010] 0.025 sec [scan/2/ext 201 (0,25)] [performance_core]
[Wed Jul  7 18:47:30.019 2010] 0.011 sec [scan/2/ext 201 (0,25)] [performance_core]
[Wed Jul  7 18:47:33.278 2010] 0.000 sec [scan/2/ext 201 (175,25)] [performance_core]
[Wed Jul  7 18:47:42.661 2010] 0.000 sec [scan/2/ext 201 (150,25)] [performance_core]
[Wed Jul  7 18:47:50.535 2010] 0.000 sec [scan/2/ext 201 (200,25)] [performance_core]
[Wed Jul  7 18:47:52.491 2010] 0.000 sec [scan/2/ext 201 (0,25)] [performance_core]
[Wed Jul  7 18:49:01.492 2010] 0.043 sec [scan/2/ext 206 (0,25)] [performance_core]
[Wed Jul  7 18:49:07.256 2010] 0.000 sec [scan/2/ext 206 (150,25)] [performance_core]
[Wed Jul  7 18:49:15.962 2010] 0.000 sec [scan/2/rel 1 (0,20)] [performance_core]
[Wed Jul  7 18:49:16.012 2010] 0.000 sec [scan/2/rel 0 (0,20)] [performance_core]
[Wed Jul  7 18:49:16.182 2010] 0.000 sec [scan/2/ext 205 (0,25)] [performance_core]
